2024-05-15;00:25:06.345544700;juan;Usuario
2024-05-15;00:30:37.986992400;juan;Usuario
2024-05-15;00:33:59.613636300;juan;Usuario
2024-05-15;00:34:15.638694300;juan;Usuario
2024-05-15;00:34:29.260474400;juan;Usuario
2024-05-15;00:36:47.203997200;juan;Usuario
2024-05-15;00:38:22.357147200;juan;Usuario
2024-05-15;00:40:37.561184300;juan;Usuario
2024-05-15;00:42:43.168867800;juan;Usuario
2024-05-15;00:43:47.052975100;juan;Usuario
2024-05-15;00:46:23.976302200;juan;Usuario
2024-05-15;00:46:35.690908100;juan;Usuario
2024-05-15;00:47:08.610389900;juan;Usuario
2024-05-15;00:47:44.807930700;juan;Usuario
2024-05-15;00:48:11.708782700;juan;Usuario
2024-05-15;00:48:34.908377900;juan;Usuario
2024-05-15;00:48:49.960769600;juan;Usuario
2024-05-15;00:49:14.223025900;juan;Usuario
2024-05-15;00:49:34.718152800;juan;Usuario
2024-05-15;00:51:48.044696100;juan;Usuario
2024-05-15;00:54:45.814875800;juan;Usuario
2024-05-15;00:55:10.387006900;juan;Usuario
2024-05-15;00:55:31.613197900;juan;Usuario
2024-05-15;00:55:50.834227600;juan;Usuario
2024-05-15;00:58:38.024006100;juan;Usuario
2024-05-15;01:00:53.503785;juan;Usuario
2024-05-15;01:01:32.397942400;juan;Usuario
